SYMBOL
360ONE
3MINDIA
ACC
AIAENG
APLAPOLLO
AUBANK
AWL
ABBOTINDIA
ATGL
ABCAPITAL
AJANTPHARM
ALKEM
ANTHEM
APARINDS
APOLLOTYRE
ASHOKLEY
ASTRAL
AUROPHARMA
AIIL
BSE
BAJAJHFL
BALKRISIND
BANKINDIA
MAHABANK
BERGEPAINT
BDL
BHARATFORG
BHEL
BHARTIHEXA
GROWW
BIOCON
BLUESTARCO
CRISIL
COCHINSHIP
COFORGE
COLPAL
CONCOR
COROMANDEL
DABUR
DALBHARAT
DIXON
ENDURANCE
ESCORTS
EXIDEIND
NYKAA
FEDERALBNK
FORTIS
GVT&D
GMRAIRPORT
GICRE
GLAXO
GLENMARK
MEDANTA
GODFRYPHLP
GODREJIND
GODREJPROP
FLUOROCHEM
HDBFS
HAVELLS
HEROMOTOCO
HEXT
HINDPETRO
POWERINDIA
HONAUT
HUDCO
ICICIGI
ICICIAMC
ICICIPRULI
IDFCFIRSTB
ITCHOTELS
INDIANB
IRCTC
IREDA
INDUSTOWER
INDUSINDBK
NAUKRI
IPCALAB
JKCEMENT
JSWENERGY
JSWINFRA
JSL
JUBLFOOD
KPRMILL
KEI
KPITTECH
KALYANKJIL
LTF
LTTS
LGEINDIA
LICHSGFIN
LAURUSLABS
LENSKART
LICI
LINDEINDIA
LLOYDSME
LUPIN
MRF
M&MFIN
MANKIND
MARICO
MFSL
MOTILALOFS
MPHASIS
MCX
NHPC
NLCINDIA
NMDC
NTPCGREEN
NATIONALUM
NAM-INDIA
OBEROIRLTY
OIL
PAYTM
OFSS
POLICYBZR
PIIND
PAGEIND
PATANJALI
PERSISTENT
PETRONET
PHOENIXLTD
POLYCAB
PREMIERENE
PRESTIGE
RADICO
RVNL
SBICARD
SJVN
SRF
SCHAEFFLER
SAIL
SUNDARMFIN
SUPREMEIND
SUZLON
SWIGGY
TATACOMM
TATAELXSI
TATAINVEST
NIACL
THERMAX
TORNTPOWER
TIINDIA
UNOMINDA
UPL
UBL
VMM
IDEA
VOLTAS
WAAREEENER
YESBANK
